Run 1/1
Running simulation 'FL_B_CCN_NoCache_50_RWP'
Unique content gateway: 134 :: total unique content cache: 1
received Time: 670.5000000000839	 sent Time 60.00000000000058
received Time: 1935.8999999993348	 sent Time 1921.7999999993476
received Time: 1921.9999999993474	 sent Time 1921.7999999993476
received Time: 2726.399999998616	 sent Time 1921.7999999993476
received Time: 2223.1999999990735	 sent Time 1921.7999999993476
received Time: 2922.899999998437	 sent Time 1921.7999999993476
received Time: 2223.0999999990736	 sent Time 1921.7999999993476
received Time: 3060.599999998312	 sent Time 1921.7999999993476
received Time: 2923.199999998437	 sent Time 1921.7999999993476
received Time: 3530.999999997884	 sent Time 1921.7999999993476
received Time: 1966.0999999993073	 sent Time 1921.7999999993476
received Time: 2925.4999999984348	 sent Time 1921.7999999993476
received Time: 3531.299999997884	 sent Time 1921.7999999993476
received Time: 3531.6999999978834	 sent Time 1921.7999999993476
received Time: 1932.6999999993377	 sent Time 1921.7999999993476
received Time: 2271.19999999903	 sent Time 1921.7999999993476
received Time: 3060.499999998312	 sent Time 1921.7999999993476
received Time: 2408.1999999989052	 sent Time 1921.7999999993476
received Time: 3531.7999999978833	 sent Time 1921.7999999993476
received Time: 2594.8999999987354	 sent Time 1921.7999999993476
received Time: 3530.7999999978842	 sent Time 1921.7999999993476
received Time: 2005.7999999992712	 sent Time 1921.7999999993476
received Time: 2726.199999998616	 sent Time 1921.7999999993476
received Time: 3002.6999999983645	 sent Time 2522.799999998801
received Time: 2922.999999998437	 sent Time 2522.799999998801
received Time: 2912.4999999984466	 sent Time 2522.799999998801
received Time: 2523.3999999988005	 sent Time 2522.799999998801
received Time: 2726.4999999986157	 sent Time 2522.799999998801
received Time: 2923.3999999984367	 sent Time 2522.799999998801
received Time: 2922.5999999984374	 sent Time 2522.799999998801
received Time: 3531.4999999978836	 sent Time 2522.799999998801
received Time: 3354.7999999980443	 sent Time 2522.799999998801
received Time: 2923.4999999984366	 sent Time 2522.799999998801
received Time: 3531.3999999978837	 sent Time 2522.799999998801
received Time: 2948.099999998414	 sent Time 2522.799999998801
received Time: 3531.8999999978832	 sent Time 2522.799999998801
received Time: 3531.199999997884	 sent Time 2522.799999998801
received Time: 2523.1999999988006	 sent Time 2522.799999998801
received Time: 2923.099999998437	 sent Time 2522.799999998801
received Time: 2595.199999998735	 sent Time 2522.799999998801
received Time: 3531.5999999978835	 sent Time 2522.799999998801
received Time: 2523.2999999988006	 sent Time 2522.799999998801
received Time: 3077.099999998297	 sent Time 2522.799999998801
received Time: 3522.5999999978917	 sent Time 3063.699999998309
received Time: 3064.4999999983083	 sent Time 3063.699999998309
received Time: 3087.2999999982876	 sent Time 3063.699999998309
received Time: 3076.999999998297	 sent Time 3063.699999998309
received Time: 3081.0999999982932	 sent Time 3063.699999998309
received Time: 3064.3999999983084	 sent Time 3063.699999998309
received Time: 3064.2999999983085	 sent Time 3063.699999998309
received Time: 3084.49999999829	 sent Time 3063.699999998309
received Time: 3354.6999999980444	 sent Time 3063.699999998309
received Time: 3064.1999999983086	 sent Time 3063.699999998309
received Time: 3081.399999998293	 sent Time 3063.699999998309
received Time: 3159.499999998222	 sent Time 3063.699999998309
received Time: 3544.8999999978714	 sent Time 3544.499999997872
received Time: 3555.399999997862	 sent Time 3544.499999997872
received Time: 3578.8999999978405	 sent Time 3544.499999997872
received Time: 3578.399999997841	 sent Time 3544.499999997872
received Time: 3545.199999997871	 sent Time 3544.499999997872
received Time: 3558.499999997859	 sent Time 3544.499999997872
received Time: 3544.9999999978713	 sent Time 3544.499999997872
avgAoI: 712.3208955219175 | overhead: 1.5223880597014925 | validDeliveries: 134
22.0 3600: 163.78 1/s
Simulation done in 21.94s
---
All done in 22.11s
